"Name","Surname","Country","City","Latitude","Longitude","Booking Number","Flight Number","Travel Class","Travel Time","Distance Travelled","Arrival Time"
"Melissa","Matthews","England","Birmingham",52.486244,-1.890401,"BOOK9581","BA428","Economy",16:27:43,411.89,00:51:33
"Veronica","Escobar","Wales","Cardiff",51.481312,-3.1805,"BOOK8594","BA505","Economy",09:26:37,606.79,10:59:54
"Brooke","Black","Wales","Cardiff",51.481312,-3.1805,"BOOK6293","BA969","Economy",14:48:04,301.94,05:18:08
"Kenneth","Guerrero","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3266","BA421","Economy",10:48:04,267.87,15:57:59
"Evan","Sanders","Scotland","Edinburgh",55.953251,-3.188267,"BOOK5783","BA506","First Class",18:46:22,589.83,11:51:12
"Michele","Oconnell","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK8770","BA947","Economy",20:48:38,488.48,08:12:49
"Deborah","Townsend","Scotland","Edinburgh",55.953251,-3.188267,"BOOK9207","BA899","Economy",09:16:37,559.94,01:29:31
"Morgan","Vasquez","Wales","Cardiff",51.481312,-3.1805,"BOOK6848","BA737","First Class",04:06:03,466.76,06:09:05
"Melissa","Edwards","Scotland","Glasgow",55.834024,-4.253416,"BOOK9077","BA508","Economy",17:25:29,339.04,01:03:54
"Lori","Velez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7691","BA811","First Class",22:00:37,437.12,09:49:22
"Richard","Sutton","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3548","BA856","First Class",02:11:30,463.59,21:51:10
"John","Merritt","Scotland","Glasgow",55.834024,-4.253416,"BOOK6087","BA142","Business",07:34:17,507.16,12:32:22
"Katelyn","Jones","England","Birmingham",52.486244,-1.890401,"BOOK8758","BA572","First Class",01:17:38,467.25,20:38:42
"Pamela","Griffin","Scotland","Edinburgh",55.953251,-3.188267,"BOOK4521","BA534","First Class",08:00:24,641.27,18:14:57
"Michael","Harrison","England","London",51.507351,-0.127758,"BOOK4852","BA964","First Class",19:27:03,635.43,04:38:53
"Brent","Hart","England","London",51.507351,-0.127758,"BOOK1135","BA481","Economy",19:21:46,436.4,06:37:59
"Amy","Murphy","England","London",51.507351,-0.127758,"BOOK3642","BA603","First Class",14:12:26,544.37,13:44:32
"Heather","Douglas","Wales","Cardiff",51.481312,-3.1805,"BOOK8897","BA510","First Class",19:00:46,479.04,18:50:57
"James","Villegas","Wales","Cardiff",51.481312,-3.1805,"BOOK3650","BA442","First Class",04:13:02,324.65,14:20:58
"Kevin","Wallace","England","London",51.507351,-0.127758,"BOOK8419","BA730","Economy",01:49:11,340.33,13:30:12
"Timothy","Williams","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7789","BA316","Economy",23:41:03,346.15,18:32:23
"John","Chase","Scotland","Edinburgh",55.953251,-3.188267,"BOOK1830","BA252","Economy",08:19:09,530.99,20:35:06
"Jessica","Aguilar","England","London",51.507351,-0.127758,"BOOK6115","BA622","Economy",21:44:30,631.53,07:47:04
"Jesse","Crawford","Scotland","Edinburgh",55.953251,-3.188267,"BOOK6839","BA401","First Class",15:45:10,628.5,12:02:34
"Ashley","Randolph","Wales","Cardiff",51.481312,-3.1805,"BOOK3283","BA359","Business",02:21:59,538.19,17:27:18
"Sheila","Larson","England","London",51.507351,-0.127758,"BOOK7225","BA678","First Class",02:22:19,414.74,01:53:20
"David","Johnson","Wales","Cardiff",51.481312,-3.1805,"BOOK6165","BA642","Economy",06:41:10,432.67,13:19:14
"Nicholas","Rodriguez","Scotland","Glasgow",55.834024,-4.253416,"BOOK3542","BA419","Economy",17:19:28,439.47,07:08:46
"Isaac","Simpson","England","London",51.507351,-0.127758,"BOOK1509","BA954","Business",08:18:14,457.43,16:51:34
"Felicia","Nguyen","Scotland","Glasgow",55.834024,-4.253416,"BOOK4781","BA447","First Class",19:48:29,427.83,23:03:17
"David","White","Wales","Cardiff",51.481312,-3.1805,"BOOK8084","BA902","First Class",08:18:38,476.18,20:23:49
"Kevin","Pineda","Scotland","Edinburgh",55.953251,-3.188267,"BOOK2124","BA245","Economy",21:19:03,487.82,02:03:00
